HolderAddress,Balance,PendingBalanceUpdate
0xdb8c254ef2518a7564f84a575dbb4113eb710401,"74,194.57880428",No
0x3721005d4574b655263cb7d18e322d76692eed64,"72,515.743984577464663229",No
0xd252b08b8c516691af580e8057ab0619766b08a6,"69,228.2436829",No
0xf201516b18322e9f7cec3927517ae2d5e6716e90,"67,393.26111367",No
0x0d0707963952f2fba59dd06f2b425ace40b492fe,"67,229.184129947109028514",No
0xb722515d1908a496ebd14a9f2cba2d2713910fdb,"63,179.178906239940106485",No
0xe7482ae8871088b1fd06d1e472fa353258264467,"60,780.270942717020870532",No
0x8c781a21fc4881c04fa73bbcbfb8a4a4a7aa3061,"60,000",No
0x478664205b22f42a4b2f8ff87f907f9f7c2d5370,"58,692.214774303147367089",No
0x1901c78f567b0aaa2cf6504312baaf3ac04334aa,"56,779.335947471227701662",No
0x0303e4fe3d5a3d4f225e7690f038786648657b2b,"55,883.066705401053747818",No
0x85af3a6503527608adc0f9ea2f906411472c79a3,"50,834.02246",No
0x478ae4f45dd94a34fc23b18a97c1c20a07985f61,"47,291.237561461137607441",No
0xb3467170b6ae68c8b2b2ecde8cd3682f8a724b0c,"47,247.62240255832467012",No
0x70e3701a783a035a5bdbfd0d8fb14dede0d214b8,"46,543.287617325823998894",No
0x0356474ec29f486983f34cdc1eff1dfab08f0bcf,"44,362.394052035299610249",No
0xbd0b4c05cf02c230cdc2cbe7a6a54979f53d69fa,"43,149.551462102476182033",No
0x7df68e9a3b971d6434e8edc0de5e99523d3973b4,"42,915.127309130718601612",No
0x43e18e7c6abdd03203bcabfce37c6d73d2d4dd86,"40,421.198040456987663506",No
0x548faa03f4b13cd8ee22f92752f4d457bbefbdd6,"40,000",No
0x40dd3b89223e2bbab9322f55c0af819043732e55,"39,883.65624",No
0x7c08c3d2dbf4e246aaf02d19db105dadffe07caa,"37,926.79373393934231282",No
0xd86553ecef17f63ecdc0b18b287179fd64f989c7,"37,592.451521916289946578",No
0x6f541dea40ec4d409d345886559039c5f35967a8,"37,442.09664368",No
0xbaa936b34bf9f490c1c31f3bc14d0c77304c610a,"35,184.199980970000000066",No
0xc0b560f0af77318a64246e08239d932a6edcf167,"32,752.927698089956868275",No
0x79ac560d2dba51b2504a2e99b0dd30954ad88a5c,"32,384.300591583006308738",No
