"HolderAddress","Balance","PendingBalanceUpdate"
"0x43fbe1745f821e458bcc7f5240b72757849416b3","399,528.147211548623727383","No"
"0x3d61d3da40a372ca317832717d7e6205cedb439b","393,029.508271860620452298","No"
"0xd2d5a4a7fbbc36124f3e5142b5b6f030ba342604","392,584.328995773754112606","No"
"0x6decbe8d4ecf247239adffa473e491a0041f2e4c","390,397.32897503688037454","No"
"0x8e799d0e1042c254e4270da020aeb52efa6acfbb","387,646.200996494695186388","No"
"0x927a03b6606380147e38e88b1b491c7d29a62eea","387,259.178258181403922923","No"
"0xf7b4ff31422206ec4eb427e69d27a9b93fac0c8c","385,443.793096597245789217","No"
"0xdeadad06b9cfcce57d0e9118d7e2cfda52ccdead","383,708.063349698556586728","No"
"0x10268d6d6e1b3c5bdd8be620a9110b3d04f30a1d","380,000","No"
"0x95bf2b186f342e0fc2542d57a8e14dd5577c86fb","360,783.117325729142607759","No"
"0xbc65d9fa5188d7d5d258ccaa9575a83199acc0a9","359,601.291716216566542285","No"
"0x474a5d7d801a703993f707ba0f59b39a519a8e6d","357,958.680415330054128373","No"
"0x06102325710c148fb798a1f75fe3727d1ae256ee","355,830.637931688740641642","No"
"0x1c602c05728dec7360caf00870fe5a5e88a31102","352,517.011859634129824996","No"
"0x642c6647c6efa4392ca86c2a10db53b8dc93f5c2","350,092.532124177391419774","No"
"0x47cb9497c2ece47c4adf68d11b3af6d06618a818","348,219.97214614555216628","No"
"0xf6e1e007d53f8e66d2e6db0a7fdba13b6f83112e","345,682.363789468673235086","No"
"0xd18648ccb70e3348bdb24ba0ed7d6fae8f1da16f","344,221.934763140282157184","No"
"0xaa3d85ad9d128dfecb55424085754f6dfa643eb1","343,502.257902659307576517","No"
"0x3998496b42f01e586ede2185269b35a06dd725f0","338,145.582218529153262867","No"
"0xa15bdd6d8c18a49ca1d76a4c5f83e821a550655c","334,368.508654270043295289","No"
"0x5cdfaa3500412c11b18ed33871533e991cf88313","327,003.543839248494439324","No"
"0x6bf3884854e310370cb3939142c0610b5ac61369","324,112.549564933567470464","No"
"0xbe032021afd86e468900100482ebd7695b468a50","320,000","No"
"0x961ca167472a1f21a9de0874f8118c27ba2523f9","319,660.856898938041727811","No"
"0xba1c08b0ec6b0597ccc4a39238323634153f0908","308,560.516234074409812835","No"
"0x32df5c4408a68ee2defb40050ad65a5703f8ee5e","305,506.039144095475803597","No"
"0x1a428f75a5893b54d1ce806b5661f5d8f41a12c6","304,406.345301055689526289","No"
"0xfe2796c313c7d5c8f5efe47336c7cb416dd645d1","301,849.789848646956921003","No"
"0x5195b35889a6222d930acafefa5a399fd1fb6a28","301,088.703665684470409093","No"
